data,n_focos,target,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media,focos_ultimos_3d,focos_ultimos_7d,chuva_7d,temp_7d,humidade_7d,mes,dia_semana
2008-03-10,0,0,3.6,966.95,21.009090909090908,24.5,19.2,18.245454545454542,84.36363636363636,7.6,1.8,0.0,0.0,58.00000000000001,20.10595238095238,85.85119047619048,3,0
2008-03-11,0,0,0.0,1485.823076923077,21.079166666666666,26.8,17.5,17.375,80.95833333333333,7.2,1.4791666666666667,0.0,0.0,40.20000000000001,20.31022727272727,85.07575757575758,3,1
2008-03-12,0,0,16.8,1291.6538461538462,21.0375,27.4,17.3,17.45,81.16666666666667,10.7,1.3,0.0,0.0,33.600000000000016,20.371536796536795,85.11742424242425,3,2
2008-03-13,0,0,1.4,1269.3153846153846,20.225,25.3,18.0,17.741666666666667,86.125,11.3,1.8791666666666669,0.0,0.0,48.80000000000001,20.30070346320346,85.5340909090909,3,3
2008-03-14,0,0,0.0,1518.1846153846154,21.204166666666666,26.9,17.6,17.116666666666667,79.125,8.1,2.475,0.0,0.0,39.000000000000014,20.147727272727273,86.01623376623377,3,4
2008-03-15,0,0,5.2,1556.176923076923,21.125,27.2,17.8,17.4875,80.83333333333333,13.0,2.75,0.0,0.0,21.800000000000015,20.322132034632034,85.24837662337663,3,5
2008-03-16,0,0,7.8,1482.2615384615383,20.15,26.7,17.4,16.870833333333334,82.66666666666667,9.0,2.1958333333333333,0.0,0.0,27.000000000000014,20.62570346320346,83.93885281385282,3,6
2008-03-17,0,0,0.8,1208.3384615384616,20.820833333333333,25.2,17.1,17.195833333333333,80.5,8.5,2.458333333333333,0.0,0.0,34.80000000000002,20.832846320346324,82.17694805194806,3,0
2008-03-18,0,0,0.0,1833.9,20.925,26.4,17.0,16.420833333333334,77.58333333333333,8.8,2.8791666666666664,0.0,0.0,32.000000000000014,20.80595238095238,81.625,3,1
2008-03-19,0,0,0.0,1865.2,21.84583333333333,26.3,17.8,15.275,66.625,8.2,3.2458333333333336,0.0,0.0,32.000000000000014,20.78392857142857,81.14285714285714,3,2
2008-03-20,0,0,0.0,1628.3076923076924,21.820833333333336,26.5,17.5,16.058333333333334,70.66666666666667,8.0,2.9,0.0,0.0,15.200000000000014,20.899404761904766,79.06547619047619,3,3
2008-03-21,0,0,0.0,1747.1153846153843,21.775,26.3,16.9,16.020833333333332,71.0,8.2,2.891666666666667,0.0,0.0,13.800000000000013,21.12738095238095,76.85714285714286,3,4
2008-03-22,2,1,0.0,1595.8923076923077,22.3,26.7,19.0,16.175,69.29166666666667,11.0,2.6958333333333333,0.0,0.0,13.800000000000013,21.208928571428572,75.69642857142857,3,5
2008-03-23,0,0,0.0,1588.246153846154,22.058333333333334,27.6,17.1,16.504166666666666,72.54166666666667,6.2,1.4,2.0,2.0,8.600000000000014,21.376785714285713,74.04761904761904,3,6
2008-03-24,0,0,20.6,748.4923076923077,20.22083333333333,25.1,18.4,17.995833333333334,87.375,8.0,1.6166666666666665,2.0,2.0,0.8000000000000143,21.64940476190476,72.60119047619048,3,0
2008-03-25,0,0,0.0,888.2384615384616,20.695833333333333,25.9,17.9,17.6875,83.91666666666667,5.6,1.1833333333333331,2.0,2.0,20.600000000000016,21.563690476190477,73.58333333333334,3,1
2008-03-26,0,0,0.4,1548.1384615384616,21.279166666666665,26.8,17.4,16.558333333333334,76.20833333333333,7.1,1.7458333333333331,0.0,2.0,20.600000000000016,21.530952380952378,74.48809523809523,3,2
2008-03-27,0,0,21.0,731.0230769230768,19.5,24.7,17.9,17.212500000000002,86.91666666666667,8.6,2.1125000000000003,0.0,2.0,21.000000000000014,21.45,75.85714285714286,3,3
2008-03-28,0,0,0.2,1390.430769230769,20.25,26.1,15.4,16.212500000000002,79.08333333333333,9.1,1.3625,0.0,2.0,42.000000000000014,21.11845238095238,78.17857142857143,3,4
2008-03-29,0,0,39.4,1804.8846153846157,21.454166666666666,27.7,16.5,16.6375,76.16666666666667,10.6,1.675,0.0,2.0,42.20000000000002,20.90059523809524,79.33333333333334,3,5
2008-03-30,0,0,8.200000000000001,1797.2076923076925,21.383333333333336,27.6,15.9,15.8125,73.04166666666667,9.0,1.6291666666666669,0.0,0.0,81.60000000000002,20.7797619047619,80.31547619047619,3,6
2008-03-31,0,0,0.0,1658.223076923077,21.9875,26.3,18.4,16.283333333333335,71.16666666666667,9.4,3.154166666666667,0.0,0.0,89.80000000000001,20.683333333333334,80.38690476190477,3,0
2008-04-01,0,0,0.0,1835.4076923076923,21.5625,26.0,17.3,15.170833333333334,68.33333333333333,7.8,3.2291666666666665,0.0,0.0,69.20000000000002,20.935714285714287,78.07142857142857,4,1
2008-04-02,0,0,0.0,1213.925,21.28333333333333,25.6,18.1,15.3875,69.75,7.9,2.2875,0.0,0.0,69.20000000000002,21.059523809523807,75.8452380952381,4,2
2008-04-03,0,0,0.4,1161.1999999999998,21.1875,25.9,18.1,17.141666666666666,78.25,7.0,1.6416666666666666,0.0,0.0,68.80000000000001,21.060119047619047,74.92261904761905,4,3
2008-04-04,0,0,73.0,799.6307692307693,19.654166666666665,24.2,18.2,17.916666666666668,89.91666666666667,11.2,2.1875,0.0,0.0,48.20000000000002,21.301190476190474,73.68452380952382,4,4
