Data,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,humidade_media,vento_rajada_max,vento_vel_media
2025-04-28,0.8,690.2416666666667,20.566666666666666,24.9,18.5,89.45833333333333,6.1,1.2333333333333334
2025-04-29,0.2,1311.0666666666666,21.366666666666664,28.4,17.1,84.125,5.6,1.2666666666666666
2025-04-30,0.0,1400.4750000000001,22.15416666666667,28.1,18.3,81.04166666666667,5.3,1.5625
2025-05-01,0.4,1164.1916666666666,21.2625,25.6,18.8,86.875,8.0,2.3375
2025-05-02,0.0,1240.081818181818,21.191304347826087,25.5,18.7,82.78260869565217,8.2,3.2782608695652176
2025-05-03,0.0,1642.1833333333334,20.658333333333335,25.7,17.1,79.08333333333333,6.5,2.5083333333333333
2025-05-04,0.0,1805.4583333333333,20.104166666666668,25.3,14.5,72.16666666666667,8.5,2.245833333333333
2025-05-05,0.0,1810.7833333333335,19.900000000000002,25.7,15.4,67.04166666666667,7.7,2.404166666666667
2025-05-06,0.0,1687.2083333333333,21.195833333333333,27.5,14.6,71.41666666666667,6.9,2.0375
2025-05-07,0.0,1647.75,21.791666666666668,27.0,16.9,73.75,6.2,2.1041666666666665
2025-05-08,0.0,1805.9583333333333,21.833333333333332,27.2,16.5,71.20833333333333,7.5,2.3583333333333334
2025-05-09,0.0,1395.95,21.4875,27.1,17.8,70.25,8.8,2.2291666666666665
2025-05-10,0.0,1596.6166666666668,21.0625,27.8,15.6,73.58333333333333,6.7,1.4083333333333332
2025-05-11,0.0,1697.1363636363637,21.443478260869565,27.7,15.4,73.52173913043478,8.4,1.9478260869565216
2025-05-12,0.0,1767.8000000000002,22.3125,26.3,19.5,68.16666666666667,8.5,3.0541666666666667
2025-05-13,0.0,1506.95,19.654166666666665,24.6,15.8,75.33333333333333,8.6,3.3083333333333336
2025-05-14,0.0,974.7833333333333,18.508333333333333,23.7,16.0,80.0,9.5,3.375
2025-05-15,0.0,1630.0416666666667,18.85,24.0,14.8,75.29166666666667,10.1,3.2875
2025-05-16,0.0,1257.7166666666665,18.470833333333335,23.9,15.1,77.66666666666667,10.9,3.7416666666666667
2025-05-17,0.0,611.4666666666667,18.395833333333332,22.0,15.7,81.41666666666667,10.2,3.466666666666667
2025-05-18,0.0,1657.925,18.604166666666668,23.7,14.9,75.91666666666667,9.8,2.975
2025-05-19,0.0,1722.5333333333335,19.356521739130436,24.7,15.0,69.56521739130434,8.0,2.6739130434782608
2025-05-20,0.0,1722.0583333333334,19.008333333333333,24.9,12.8,65.625,7.1,2.191666666666667
2025-05-21,0.0,1632.2250000000001,19.230434782608697,25.8,12.6,67.30434782608695,8.5,2.1
2025-05-22,0.0,1498.8666666666668,19.9875,26.4,13.9,71.875,8.3,1.9124999999999999
2025-05-23,1.2,1359.2416666666666,20.266666666666666,25.6,14.8,75.625,7.1,1.6416666666666666
2025-05-24,0.0,1524.6666666666667,20.783333333333335,26.1,14.0,66.54166666666667,7.4,2.2624999999999997
2025-05-25,0.0,1673.3666666666668,20.05,25.3,15.1,67.75,7.5,2.3958333333333335
2025-05-26,0.0,1432.95,19.025000000000002,24.5,13.2,67.58333333333333,7.1,2.3833333333333333
2025-05-27,0.0,1579.6583333333335,19.454166666666666,25.9,11.9,64.79166666666667,8.6,2.3541666666666665
2025-05-28,0.0,1209.5833333333333,19.558333333333334,26.7,13.8,69.58333333333333,5.4,1.1458333333333333
2025-05-29,0.0,1321.9083333333333,19.650000000000002,27.1,13.1,72.70833333333333,8.2,1.95
2025-05-30,0.0,1403.325,18.745833333333334,25.5,14.1,80.29166666666667,6.2,1.6875
2025-05-31,0.0,1324.2583333333334,20.0125,26.2,15.1,73.95833333333333,7.4,1.6208333333333333
2025-06-01,0.0,1026.75,20.279166666666665,26.0,15.5,76.625,7.4,2.025
2025-06-02,0.0,1224.875,20.837500000000002,25.7,17.7,72.79166666666667,8.5,2.8249999999999997
2025-06-03,0.0,1418.55,20.491666666666667,25.5,17.0,73.54166666666667,7.5,2.6999999999999997
2025-06-04,0.0,1604.95,20.8125,26.2,16.6,69.20833333333333,7.3,2.4791666666666665
2025-06-05,0.0,1442.4333333333334,20.8125,26.3,17.2,68.125,7.4,2.2083333333333335
2025-06-06,0.0,1595.3500000000001,20.0,27.4,13.7,67.375,6.3,1.3541666666666667
2025-06-07,0.0,1527.75,20.412499999999998,27.5,12.5,58.75,6.6,1.6833333333333333
2025-06-08,0.0,1531.825,21.020833333333332,28.1,14.1,50.416666666666664,8.4,1.8041666666666665
2025-06-09,0.0,1553.625,20.079166666666666,27.8,13.6,55.583333333333336,7.5,1.5666666666666667
2025-06-10,0.0,1027.509090909091,18.778260869565216,24.6,13.7,76.1304347826087,5.4,1.4304347826086956
2025-06-11,0.0,1485.2250000000001,20.091666666666665,27.8,15.0,68.25,7.4,1.7750000000000001
2025-06-12,0.0,1430.1499999999999,18.891666666666666,25.2,13.2,69.29166666666667,6.7,2.058333333333333
2025-06-13,0.0,1320.625,18.870833333333334,24.3,14.6,73.375,8.7,3.154166666666667
2025-06-14,0.0,1584.5083333333332,17.900000000000002,23.4,12.9,70.45833333333333,8.1,3.0416666666666665
